Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,48.0,10.0,220.0,0.0,16.9215,65.4824,334.6571,63.5474,218.7769,55.6777,44.8947,1
28.0,48.0,10.0,2200.0,0.0,16.9259,65.4745,334.692,63.5474,218.7796,55.6753,44.8995,1
28.0,48.0,10.0,47.0,0.0,16.9043,65.5135,334.5196,63.5474,218.7661,55.6867,44.8766,1
28.0,48.0,10.0,470.0,0.0,16.9241,65.4777,334.6778,63.5474,218.7785,55.6763,44.8975,1
28.0,48.0,10.0,4700.0,0.0,16.9262,65.4741,334.694,63.5474,218.7797,55.6751,44.8997,1
28.0,48.0,10.0,680.0,0.0,16.9248,65.4765,334.6834,63.5474,218.7789,55.6759,44.8983,1
28.0,48.0,15.0,100.0,0.0,12.7922,94.9996,274.7417,55.3575,220.2608,57.256,41.738,1
28.0,48.0,15.0,1000.0,0.0,12.7941,94.9953,274.7722,55.3583,220.2667,57.256,41.738,1
28.0,48.0,15.0,220.0,0.0,12.7934,94.9969,274.7605,55.358,220.2644,57.256,41.738,1
28.0,48.0,15.0,2200.0,0.0,12.7942,94.995,274.7739,55.3583,220.2671,57.256,41.7379,1
28.0,48.0,15.0,47.0,0.0,12.7898,95.0053,274.7027,55.3566,220.2535,57.2559,41.7381,1
28.0,48.0,15.0,470.0,0.0,12.7939,94.9958,274.7685,55.3582,220.266,57.256,41.738,1
28.0,48.0,15.0,4700.0,0.0,12.7943,94.9949,274.7746,55.3583,220.2672,57.256,41.7379,1
28.0,48.0,15.0,680.0,0.0,12.794,94.9955,274.7706,55.3582,220.2664,57.256,41.738,1
28.0,48.0,20.0,100.0,0.0,13.4185,123.1749,285.6557,82.9868,234.5623,55.9627,44.3247,1
28.0,48.0,20.0,1000.0,0.0,13.4253,123.1641,285.7393,82.9872,234.5685,55.9625,44.325,1
28.0,48.0,20.0,220.0,0.0,13.4226,123.1683,285.7064,82.9871,234.5661,55.9626,44.3249,1
28.0,48.0,20.0,2200.0,0.0,13.4257,123.1635,285.7443,82.9872,234.5689,55.9625,44.325,1
28.0,48.0,20.0,47.0,0.0,13.4099,123.1885,285.5503,86.464,234.5545,55.9629,44.3242,1
28.0,48.0,20.0,470.0,0.0,13.4244,123.1654,285.729,82.9871,234.5677,55.9625,44.325,1
28.0,48.0,20.0,4700.0,0.0,13.4259,123.1632,285.7465,82.9872,234.5691,55.9625,44.3251,1
28.0,48.0,20.0,680.0,0.0,13.4249,123.1647,285.7351,82.9872,234.5682,55.9625,44.325,1
28.0,48.0,25.0,100.0,0.0,16.0586,150.6414,316.3004,73.5905,230.3914,53.7754,48.6991,1
28.0,48.0,25.0,1000.0,0.0,16.0651,150.632,316.3598,73.5906,230.3975,53.7738,48.7024,1
28.0,48.0,25.0,220.0,0.0,16.0625,150.6357,316.3364,73.5906,230.3951,53.7744,48.7011,1
28.0,48.0,25.0,2200.0,0.0,16.0655,150.6315,316.3634,73.5906,230.3979,53.7737,48.7026,1
28.0,48.0,25.0,47.0,0.0,16.0503,150.6533,316.2251,73.5905,230.3837,53.7775,48.695,1
28.0,48.0,25.0,470.0,0.0,16.0643,150.6332,316.3524,73.5906,230.3968,53.774,48.702,1
28.0,48.0,25.0,4700.0,0.0,16.0657,150.6312,316.365,73.5906,230.3981,53.7737,48.7027,1
28.0,48.0,25.0,680.0,0.0,16.0648,150.6325,316.3567,73.5906,230.3972,53.7739,48.7022,1
28.0,48.0,5.0,100.0,0.0,12.1754,40.8952,270.1019,83.6662,221.1773,56.0226,44.2048,1
